TimeStamp,Q_mean,W_mean,WT_mean,Stagione,ID
2019-03-06 20:00:00,2.62,20.8,6.24,Winter,3
2019-03-06 21:00:00,8.18,34.83,6.22,Winter,3
2019-03-06 22:00:00,9.16,37.17,6.5,Winter,3
2019-03-06 23:00:00,9.27,37.5,6.13,Winter,3
2019-03-07 00:00:00,7.61,33.5,5.82,Winter,3
2019-03-07 01:00:00,3.9,24.67,5.8,Winter,3
2019-03-07 02:00:00,2.88,21.67,5.8,Winter,3
2019-03-07 03:00:00,2.68,21.0,5.8,Winter,3
2019-03-07 04:00:00,2.68,21.0,5.8,Winter,3
2019-03-07 05:00:00,2.68,21.0,5.8,Winter,3
2019-03-07 06:00:00,2.58,20.67,5.8,Winter,3
2019-03-07 07:00:00,2.54,20.5,5.88,Winter,3
2019-03-07 08:00:00,2.54,20.5,5.93,Winter,3
2019-03-07 09:00:00,2.44,20.17,6.03,Winter,3
2019-03-07 10:00:00,2.58,20.67,6.1,Winter,3
2019-03-07 11:00:00,6.75,31.33,6.2,Winter,3
2019-03-07 12:00:00,9.57,38.33,6.35,Winter,3
2019-03-07 13:00:00,7.94,34.33,6.47,Winter,3
2019-03-07 14:00:00,4.39,26.0,6.67,Winter,3
2019-03-07 15:00:00,4.59,26.5,6.65,Winter,3
2019-03-07 16:00:00,6.03,29.83,6.45,Winter,3
2019-03-07 17:00:00,7.06,32.0,6.4,Winter,3
2019-03-07 18:00:00,7.98,34.17,6.38,Winter,3
2019-03-07 19:00:00,8.56,35.67,6.25,Winter,3
2019-03-07 20:00:00,11.71,45.5,6.07,Winter,3
2019-03-07 21:00:00,12.65,48.5,5.97,Winter,3
2019-03-07 22:00:00,12.65,48.5,5.9,Winter,3
2019-03-07 23:00:00,12.4,47.67,5.83,Winter,3
2019-03-08 00:00:00,9.24,37.83,5.7,Winter,3
2019-03-08 01:00:00,6.34,30.5,5.7,Winter,3
2019-03-08 02:00:00,5.87,29.5,5.62,Winter,3
2019-03-08 03:00:00,5.49,28.67,5.63,Winter,3
2019-03-08 04:00:00,5.2,28.0,5.7,Winter,3
2019-03-08 05:00:00,4.85,27.17,5.7,Winter,3
2019-03-08 06:00:00,4.78,27.0,5.7,Winter,3
2019-03-08 07:00:00,4.71,26.83,5.7,Winter,3
2019-03-08 08:00:00,4.51,26.33,5.73,Winter,3
2019-03-08 09:00:00,5.18,27.83,5.85,Winter,3
2019-03-08 10:00:00,8.3,35.0,6.03,Winter,3
2019-03-08 11:00:00,9.75,39.17,6.42,Winter,3
2019-03-08 12:00:00,10.55,41.5,6.87,Winter,3
2019-03-08 13:00:00,8.33,35.33,7.17,Winter,3
2019-03-08 14:00:00,4.86,27.17,7.63,Winter,3
2019-03-08 15:00:00,4.45,26.17,7.87,Winter,3
2019-03-08 16:00:00,4.38,26.0,7.98,Winter,3
2019-03-08 17:00:00,4.38,26.0,7.78,Winter,3
2019-03-08 18:00:00,4.45,26.17,7.55,Winter,3
2019-03-08 19:00:00,7.03,32.5,7.43,Winter,3
2019-03-08 20:00:00,11.1,43.33,7.27,Winter,3
2019-03-08 21:00:00,11.05,43.17,7.18,Winter,3
2019-03-08 22:00:00,11.05,43.17,6.67,Winter,3
2019-03-08 23:00:00,10.95,42.83,6.6,Winter,3
2019-03-09 00:00:00,10.75,42.17,6.5,Winter,3
2019-03-09 01:00:00,8.33,35.33,6.4,Winter,3
2019-03-09 02:00:00,4.93,27.33,6.4,Winter,3
2019-03-09 03:00:00,4.38,26.0,6.27,Winter,3
2019-03-09 04:00:00,4.25,25.67,6.13,Winter,3
2019-03-09 05:00:00,4.0,25.0,6.03,Winter,3
2019-03-09 06:00:00,4.0,25.0,5.93,Winter,3
2019-03-09 07:00:00,3.94,24.83,5.82,Winter,3
2019-03-09 08:00:00,4.0,25.0,5.8,Winter,3
2019-03-09 09:00:00,4.15,25.33,5.92,Winter,3
2019-03-09 10:00:00,8.16,34.67,6.03,Winter,3
2019-03-09 11:00:00,9.1,37.0,6.37,Winter,3
2019-03-09 12:00:00,8.96,36.67,7.02,Winter,3
2019-03-09 13:00:00,7.55,33.33,7.55,Winter,3
2019-03-09 14:00:00,4.26,25.67,8.12,Winter,3
2019-03-09 15:00:00,3.76,24.33,8.4,Winter,3
2019-03-09 16:00:00,3.76,24.33,8.38,Winter,3
2019-03-09 17:00:00,3.64,24.0,8.1,Winter,3
2019-03-09 18:00:00,3.76,24.33,7.8,Winter,3
2019-03-09 19:00:00,4.0,25.0,7.7,Winter,3
2019-03-09 20:00:00,4.0,25.0,7.62,Winter,3
2019-03-09 21:00:00,6.02,29.83,7.47,Winter,3
2019-03-09 22:00:00,10.1,40.0,7.53,Winter,3
2019-03-09 23:00:00,10.25,40.5,7.47,Winter,3
2019-03-10 00:00:00,8.2,35.0,6.9,Winter,3
2019-03-10 01:00:00,4.58,26.5,6.72,Winter,3
2019-03-10 02:00:00,4.0,25.0,6.55,Winter,3
2019-03-10 03:00:00,4.0,25.0,6.38,Winter,3
2019-03-10 04:00:00,3.88,24.67,6.22,Winter,3
2019-03-10 05:00:00,3.94,24.83,6.05,Winter,3
2019-03-10 06:00:00,3.8200000000000003,24.5,5.85,Winter,3
2019-03-10 07:00:00,3.7,24.17,5.68,Winter,3
2019-03-10 08:00:00,3.64,24.0,5.57,Winter,3
2019-03-10 09:00:00,3.9,24.67,5.53,Winter,3
2019-03-10 10:00:00,7.48,33.0,5.53,Winter,3
2019-03-10 11:00:00,8.24,34.83,5.83,Winter,3
2019-03-10 12:00:00,8.11,34.5,6.52,Winter,3
2019-03-10 13:00:00,7.37,32.83,7.23,Winter,3
2019-03-10 14:00:00,4.27,25.67,7.85,Winter,3
2019-03-10 15:00:00,3.7,24.17,8.33,Winter,3
2019-03-10 16:00:00,3.64,24.0,8.23,Winter,3
2019-03-10 17:00:00,3.64,24.0,7.98,Winter,3
2019-03-10 18:00:00,3.64,24.0,7.7,Winter,3
2019-03-10 19:00:00,3.76,24.33,7.6,Winter,3
2019-03-10 20:00:00,4.0,25.0,7.53,Winter,3
2019-03-10 21:00:00,5.5600000000000005,28.67,7.38,Winter,3
2019-03-10 22:00:00,9.39,37.83,7.37,Winter,3
2019-03-10 23:00:00,9.62,38.5,7.45,Winter,3
2019-03-11 00:00:00,7.95,34.33,6.97,Winter,3
2019-03-11 01:00:00,4.46,26.17,6.72,Winter,3
2019-03-11 02:00:00,4.0,25.0,6.52,Winter,3
2019-03-11 03:00:00,3.64,24.0,6.33,Winter,3
2019-03-11 04:00:00,3.64,24.0,6.15,Winter,3
2019-03-11 05:00:00,3.64,24.0,5.98,Winter,3
2019-03-11 06:00:00,3.64,24.0,5.83,Winter,3
2019-03-11 07:00:00,3.64,24.0,5.65,Winter,3
2019-03-11 08:00:00,3.5300000000000002,23.67,5.47,Winter,3
2019-03-11 09:00:00,3.47,23.5,5.4,Winter,3
2019-03-11 10:00:00,7.77,33.83,5.4,Winter,3
2019-03-11 11:00:00,9.16,37.17,5.65,Winter,3
2019-03-11 12:00:00,9.22,37.33,6.23,Winter,3
2019-03-11 13:00:00,9.45,38.0,6.3,Winter,3
2019-03-11 14:00:00,7.68,33.67,6.37,Winter,3
2019-03-11 15:00:00,4.07,25.17,6.58,Winter,3
2019-03-11 16:00:00,3.41,23.33,6.72,Winter,3
2019-03-11 17:00:00,3.3,23.0,6.32,Winter,3
2019-03-11 18:00:00,3.19,22.67,5.82,Winter,3
2019-03-11 19:00:00,3.25,22.83,5.5,Winter,3
2019-03-11 20:00:00,3.09,22.33,5.25,Winter,3
2019-03-11 21:00:00,4.17,25.0,5.0,Winter,3
2019-03-11 22:00:00,9.1,37.0,4.8,Winter,3
2019-03-11 23:00:00,9.1,37.0,4.7,Winter,3
2019-03-12 00:00:00,6.4,30.67,4.6,Winter,3
2019-03-12 01:00:00,5.65,28.83,4.48,Winter,3
2019-03-12 02:00:00,3.96,24.83,4.3,Winter,3
2019-03-12 03:00:00,3.19,22.67,4.3,Winter,3
2019-03-12 04:00:00,2.98,22.0,4.17,Winter,3
2019-03-12 05:00:00,2.98,22.0,4.1,Winter,3
2019-03-12 06:00:00,2.93,21.83,4.1,Winter,3
2019-03-12 07:00:00,2.93,21.83,4.0,Winter,3
2019-03-12 08:00:00,2.88,21.67,3.88,Winter,3
2019-03-12 09:00:00,2.93,21.83,3.85,Winter,3
2019-03-12 10:00:00,7.11,32.33,3.9,Winter,3
2019-03-12 11:00:00,8.96,36.67,4.17,Winter,3
2019-03-12 12:00:00,9.51,38.17,4.93,Winter,3
2019-03-12 13:00:00,9.85,39.17,5.6,Winter,3
2019-03-12 14:00:00,8.16,34.83,6.17,Winter,3
2019-03-12 15:00:00,4.33,25.83,6.82,Winter,3
2019-03-12 16:00:00,3.47,23.5,6.93,Winter,3
2019-03-12 17:00:00,3.25,22.83,6.45,Winter,3
2019-03-12 18:00:00,3.09,22.33,5.85,Winter,3
2019-03-12 19:00:00,3.09,22.33,5.5,Winter,3
2019-03-12 20:00:00,3.09,22.33,5.37,Winter,3
2019-03-12 21:00:00,3.93,24.33,5.2,Winter,3
2019-03-12 22:00:00,9.51,38.17,5.05,Winter,3
2019-03-12 23:00:00,9.45,38.0,5.22,Winter,3
2019-03-13 00:00:00,9.51,38.17,4.82,Winter,3
2019-03-13 01:00:00,7.7,33.67,4.7,Winter,3
2019-03-13 02:00:00,4.15,25.33,4.62,Winter,3
2019-03-13 03:00:00,3.19,22.67,4.5,Winter,3
2019-03-13 04:00:00,2.98,22.0,4.33,Winter,3
2019-03-13 05:00:00,2.98,22.0,4.2,Winter,3
2019-03-13 06:00:00,2.88,21.67,4.1,Winter,3
2019-03-13 07:00:00,2.7800000000000002,21.33,3.98,Winter,3
2019-03-13 08:00:00,2.68,21.0,3.9,Winter,3
2019-03-13 09:00:00,3.04,22.17,3.95,Winter,3
2019-03-13 10:00:00,7.0,32.0,4.1,Winter,3
2019-03-13 11:00:00,9.16,37.17,4.3,Winter,3
2019-03-13 12:00:00,9.39,37.83,4.88,Winter,3
2019-03-13 13:00:00,8.28,35.0,5.3,Winter,3
2019-03-13 14:00:00,6.27,30.33,5.43,Winter,3
2019-03-13 15:00:00,3.67,24.0,5.75,Winter,3
2019-03-13 16:00:00,2.83,21.5,5.98,Winter,3
2019-03-13 17:00:00,2.68,21.0,6.02,Winter,3
2019-03-13 18:00:00,2.68,21.0,5.7,Winter,3
2019-03-13 19:00:00,2.68,21.0,5.48,Winter,3
2019-03-13 20:00:00,2.68,21.0,5.32,Winter,3
2019-03-13 21:00:00,2.68,21.0,5.13,Winter,3
2019-03-13 22:00:00,6.33,30.33,5.0,Winter,3
2019-03-13 23:00:00,8.3,35.0,5.1,Winter,3
2019-03-14 00:00:00,8.37,35.17,4.85,Winter,3
2019-03-14 01:00:00,6.71,31.33,4.55,Winter,3
2019-03-14 02:00:00,3.32,23.0,4.43,Winter,3
2019-03-14 03:00:00,2.54,20.5,4.3,Winter,3
2019-03-14 04:00:00,2.39,20.0,4.12,Winter,3
2019-03-14 05:00:00,2.39,20.0,3.98,Winter,3
2019-03-14 06:00:00,2.39,20.0,3.88,Winter,3
2019-03-14 07:00:00,2.44,20.17,3.7800000000000002,Winter,3
2019-03-14 08:00:00,2.39,20.0,3.68,Winter,3
2019-03-14 09:00:00,2.39,20.0,3.67,Winter,3
2019-03-14 10:00:00,6.1,29.67,3.73,Winter,3
2019-03-14 11:00:00,7.84,33.83,4.03,Winter,3
2019-03-14 12:00:00,7.5,33.0,4.7,Winter,3
2019-03-14 13:00:00,5.99,29.67,5.28,Winter,3
2019-03-14 14:00:00,3.2,22.67,5.73,Winter,3
2019-03-14 15:00:00,2.63,20.83,6.07,Winter,3
2019-03-14 16:00:00,2.39,20.0,5.98,Winter,3
2019-03-14 17:00:00,2.39,20.0,5.83,Winter,3
2019-03-14 18:00:00,2.35,19.83,5.8,Winter,3
2019-03-14 19:00:00,2.25,19.5,5.75,Winter,3
2019-03-14 20:00:00,2.21,19.33,5.7,Winter,3
2019-03-14 21:00:00,2.63,20.5,5.7,Winter,3
2019-03-14 22:00:00,7.5,33.0,5.82,Winter,3
2019-03-14 23:00:00,7.07,32.0,5.95,Winter,3
2019-03-15 00:00:00,5.91,29.5,5.57,Winter,3
2019-03-15 01:00:00,4.26,25.67,5.4,Winter,3
2019-03-15 02:00:00,2.84,21.5,5.4,Winter,3
2019-03-15 03:00:00,2.3,19.67,5.4,Winter,3
2019-03-15 04:00:00,2.35,19.83,5.38,Winter,3
2019-03-15 05:00:00,2.35,19.83,5.3,Winter,3
2019-03-15 06:00:00,2.21,19.33,5.25,Winter,3
2019-03-15 07:00:00,2.12,19.0,5.2,Winter,3
2019-03-15 08:00:00,2.12,19.0,5.2,Winter,3
2019-03-15 09:00:00,2.12,19.0,5.38,Winter,3
2019-03-15 10:00:00,5.51,28.33,5.6,Winter,3
2019-03-15 11:00:00,7.5,33.0,5.85,Winter,3
2019-03-15 12:00:00,8.05,34.33,6.7,Winter,3
2019-03-15 13:00:00,6.85,31.67,7.47,Winter,3
2019-03-15 14:00:00,3.21,22.67,7.75,Winter,3
2019-03-15 15:00:00,2.49,20.33,8.38,Winter,3
2019-03-15 16:00:00,2.3,19.67,8.37,Winter,3
2019-03-15 17:00:00,2.17,19.17,8.05,Winter,3
2019-03-15 18:00:00,2.12,19.0,7.65,Winter,3
2019-03-15 19:00:00,2.12,19.0,7.42,Winter,3
2019-03-15 20:00:00,2.21,19.33,7.32,Winter,3
2019-03-15 21:00:00,3.09,21.83,7.27,Winter,3
2019-03-15 22:00:00,7.78,33.67,7.35,Winter,3
2019-03-15 23:00:00,7.78,33.67,7.53,Winter,3
2019-03-16 00:00:00,6.28,30.33,6.68,Winter,3
2019-03-16 01:00:00,4.52,26.33,6.33,Winter,3
2019-03-16 02:00:00,2.94,21.83,6.28,Winter,3
2019-03-16 03:00:00,2.73,21.17,6.13,Winter,3
2019-03-16 04:00:00,2.54,20.5,6.0,Winter,3
2019-03-16 05:00:00,2.58,20.67,5.87,Winter,3
2019-03-16 06:00:00,2.39,20.0,5.77,Winter,3
2019-03-16 07:00:00,2.39,20.0,5.65,Winter,3
